       JobID              Submit               Start            Eligible  Partition          Reservation AllocNodes  AllocCPUS ReqNodes  ReqCPUS      ReqGRES  Timelimit    Elapsed  cascades
------------ ------------------- ------------------- ------------------- ---------- -------------------- ---------- ---------- -------- -------- ------------ ---------- ----------  cascades
605331       2021-03-08T16:30:06 2021-03-08T16:30:31 2021-03-08T16:30:06   normal_q                               1          1        1        1              2-22:00:00   00:00:03  cascades
605332       2021-03-08T16:30:18 2021-03-08T16:30:31 2021-03-08T16:30:18   normal_q                               1          1        1        1              2-22:00:00   00:00:20  cascades
605333       2021-03-08T16:30:19 2021-03-08T16:30:31 2021-03-08T16:30:19   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605334       2021-03-08T16:30:31 2021-03-08T16:30:31 2021-03-08T16:30:31   normal_q                               1          1        1        1              2-22:00:00   00:00:21  cascades
605335       2021-03-08T16:30:34 2021-03-08T16:30:49 2021-03-08T16:30:34   normal_q                               1          1        1        1              2-22:00:00   00:00:03  cascades
605336       2021-03-08T16:30:34 2021-03-08T16:30:49 2021-03-08T16:30:34   normal_q                               1          1        1        1              2-22:00:00   00:00:23  cascades
605337       2021-03-08T16:30:37 2021-03-08T16:30:49 2021-03-08T16:30:37   normal_q                               1          1        1        1              2-22:00:00   00:00:19  cascades
605338       2021-03-08T16:30:37 2021-03-08T16:30:49 2021-03-08T16:30:37   normal_q                               1          1        1        1              2-22:00:00   00:00:03  cascades
605339       2021-03-08T16:30:39 2021-03-08T16:30:49 2021-03-08T16:30:39   normal_q                               1          1        1        1              2-22:00:00   00:01:10  cascades
605340       2021-03-08T16:30:39 2021-03-08T16:31:19 2021-03-08T16:30:39   normal_q                               1          1        1        1              2-22:00:00   00:00:23  cascades
605341       2021-03-08T16:30:39 2021-03-08T16:31:19 2021-03-08T16:30:39   normal_q                               1          1        1        1              2-22:00:00   00:00:20  cascades
605342       2021-03-08T16:30:50 2021-03-08T16:31:19 2021-03-08T16:30:50   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605343       2021-03-08T16:31:03 2021-03-08T16:31:19 2021-03-08T16:31:03   normal_q                               1          1        1        1              2-22:00:00   00:01:18  cascades
605344       2021-03-08T16:31:06 2021-03-08T16:31:19 2021-03-08T16:31:06   normal_q                               1          1        1        1              2-22:00:00   00:00:22  cascades
605345       2021-03-08T16:31:06 2021-03-08T16:31:32 2021-03-08T16:31:06   normal_q                               1          1        1        1              2-22:00:00   00:00:22  cascades
605346       2021-03-08T16:31:07 2021-03-08T16:31:32 2021-03-08T16:31:07   normal_q                               1          1        1        1              2-22:00:00   00:00:19  cascades
605347       2021-03-08T16:31:19 2021-03-08T16:31:32 2021-03-08T16:31:19   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605348       2021-03-08T16:31:19 2021-03-08T16:31:32 2021-03-08T16:31:19   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605349       2021-03-08T16:31:29 2021-03-08T16:31:32 2021-03-08T16:31:29   normal_q                               1          1        1        1              2-22:00:00   00:01:12  cascades
605350       2021-03-08T16:31:43 2021-03-08T16:31:49 2021-03-08T16:31:43   normal_q                               1          1        1        1              2-22:00:00   00:00:05  cascades
605351       2021-03-08T16:31:43 2021-03-08T16:31:49 2021-03-08T16:31:43   normal_q                               1          1        1        1              2-22:00:00   00:00:06  cascades
